epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,244.273,1.66074,1.70484,1.20813,0.38302,0.37342,0.29023,0.09835,2.40827,2.00015,1.57053,0.000199601,0.000199601,0.0802395
2,485.389,1.51603,1.39597,1.13008,0.44808,0.41489,0.37643,0.20144,1.7649,1.42463,1.15284,0.000398517,0.000398517,0.0604384
3,725.822,1.49118,1.37059,1.11811,0.51035,0.38364,0.38818,0.17761,1.79924,1.42139,1.15919,0.000593115,0.000593115,0.040633
4,963.806,1.46399,1.3197,1.10181,0.3641,0.56015,0.42276,0.2394,1.49266,1.26263,1.05634,0.000780229,0.000780229,0.0208201
5,1202.2,1.42639,1.27486,1.09145,0.56817,0.43094,0.44046,0.19865,1.93299,1.60888,1.2131,0.000956823,0.000956823,0.000996743
6,1439.03,1.40477,1.2419,1.07858,0.38695,0.52167,0.43578,0.24005,1.5893,1.23985,1.0885,0.000933683,0.000933683,0.000933683
7,1677.56,1.40707,1.24923,1.07548,0.44075,0.44847,0.44519,0.24627,1.52745,1.23076,1.05303,0.000905463,0.000905463,0.000905463
8,1916.24,1.35658,1.19204,1.0609,0.33717,0.59266,0.4319,0.23533,1.57521,1.22223,1.07373,0.000872857,0.000872857,0.000872857
9,2153.39,1.33424,1.15764,1.05084,0.43892,0.55,0.45458,0.24663,1.5778,1.16266,1.08174,0.00083622,0.00083622,0.00083622
10,2391.72,1.31546,1.1372,1.04294,0.39081,0.61599,0.47158,0.25025,1.58295,1.15942,1.07689,0.000795954,0.000795954,0.000795954
11,2629.8,1.31946,1.14114,1.04267,0.37769,0.47793,0.43805,0.2393,1.6317,1.16305,1.09045,0.0007525,0.0007525,0.0007525
12,2866.66,1.30416,1.10949,1.04065,0.43285,0.57435,0.50474,0.2852,1.51474,1.14604,1.05069,0.000706335,0.000706335,0.000706335
13,3104.69,1.29674,1.10124,1.03541,0.41425,0.60821,0.50434,0.29394,1.43668,1.12935,1.0229,0.000657963,0.000657963,0.000657963
14,3341.51,1.26172,1.08855,1.02656,0.4696,0.60241,0.53067,0.31647,1.40357,1.1026,1.01486,0.000607916,0.000607916,0.000607916
15,3578.86,1.25523,1.06613,1.02574,0.51668,0.56577,0.52368,0.31389,1.36865,1.05281,1.00558,0.000556742,0.000556742,0.000556742
16,3817.58,1.31787,1.09752,1.0799,0.53565,0.58388,0.54892,0.29872,1.46726,1.06882,1.03112,0.000505,0.000505,0.000505
17,4054.28,1.2748,1.06938,1.06606,0.49888,0.62133,0.56861,0.31581,1.52686,1.07453,1.05545,0.000453258,0.000453258,0.000453258
18,4291.11,1.28512,1.07315,1.06674,0.57044,0.61078,0.58527,0.32868,1.47541,1.05092,1.03486,0.000402084,0.000402084,0.000402084
19,4528.52,1.27254,1.04706,1.06144,0.55162,0.55298,0.55996,0.31782,1.44543,1.04212,1.02651,0.000352037,0.000352037,0.000352037
20,4765.22,1.24842,1.03334,1.05241,0.40741,0.65582,0.54505,0.31029,1.50399,1.04864,1.03981,0.000303665,0.000303665,0.000303665
21,5001.76,1.23898,1.02724,1.05285,0.52243,0.64018,0.59024,0.33012,1.44127,1.02622,1.02257,0.0002575,0.0002575,0.0002575
22,5239.02,1.21906,1.01015,1.03701,0.62129,0.5949,0.6018,0.35055,1.38581,1.00644,1.00724,0.000214046,0.000214046,0.000214046
23,5476.51,1.22163,1.00284,1.03881,0.64872,0.61122,0.60542,0.346,1.44391,1.02261,1.0241,0.00017378,0.00017378,0.00017378
24,5714.07,1.21398,0.98854,1.03859,0.60702,0.60219,0.6077,0.36066,1.373,0.97612,1.0027,0.000137143,0.000137143,0.000137143
25,5952.03,1.1841,0.97699,1.02707,0.52137,0.62279,0.58642,0.34755,1.34322,0.99582,0.99517,0.000104537,0.000104537,0.000104537
26,6189.58,1.19274,0.96949,1.03063,0.65238,0.58717,0.60748,0.35332,1.34521,0.98276,0.99403,7.63174e-05,7.63174e-05,7.63174e-05
27,6426.7,1.18791,0.96404,1.02801,0.58752,0.61789,0.61989,0.35239,1.39858,0.97397,1.00875,5.2795e-05,5.2795e-05,5.2795e-05
28,6663.99,1.17757,0.95157,1.02163,0.59349,0.61614,0.60957,0.35419,1.36963,0.97341,1.00002,3.4227e-05,3.4227e-05,3.4227e-05
29,6900.58,1.17355,0.95012,1.02373,0.58116,0.62069,0.61477,0.35509,1.34311,0.96874,0.99246,2.08169e-05,2.08169e-05,2.08169e-05
30,7137.14,1.17,0.94359,1.02377,0.56847,0.62169,0.6172,0.35828,1.34976,0.96349,0.99528,1.27117e-05,1.27117e-05,1.27117e-05
